user_id,timestamp,sender,message,emotion_label,emotion_scores,mental_label,mental_scores
U001,05-09-2025 09:15,user,"Hey! I'm so excited today, I finally got promoted!",joy,"{""joy"": 0.9037145972251892, ""surprise"": 0.08148067444562912, ""neutral"": 0.006492299493402243, ""sadness"": 0.0037616565823554993, ""anger"": 0.0021326839923858643, ""disgust"": 0.0017972200876101851, ""fear"": 0.0006208452978171408}",none,"{""burnout"": 0.03215860202908516, ""insomnia"": 0.025101035833358765, ""stress"": 0.01858418807387352, ""anxiety"": 0.016983797773718834, ""none"": 0.75, ""depression"": 0.004371542949229479}"
U001,05-09-2025 09:15,user,Thank you! I'm feeling so happy right now.,joy,"{""joy"": 0.9897055625915527, ""surprise"": 0.004117660224437714, ""neutral"": 0.0022487773094326258, ""sadness"": 0.0015649986453354359, ""disgust"": 0.0014135908568277955, ""anger"": 0.0007522435043938458, ""fear"": 0.0001970544399227947}",none,"{""insomnia"": 0.013188028708100319, ""stress"": 0.00690303323790431, ""none"": 0.75, ""burnout"": 0.005073918495327234, ""anxiety"": 0.004593926016241312, ""depression"": 0.001706336042843759}"
U002,05-09-2025 10:20,user,"Work is okay, just the usual stuff.",neutral,"{""neutral"": 0.832186222076416, ""sadness"": 0.06570380926132202, ""joy"": 0.04828411340713501, ""surprise"": 0.03083735890686512, ""disgust"": 0.014080476947128773, ""anger"": 0.006343542598187923, ""fear"": 0.002564414171501994}",none,"{""stress"": 0.04039357975125313, ""anxiety"": 0.017699940130114555, ""insomnia"": 0.010946664959192276, ""depression"": 0.0064631118439137936, ""none"": 0.75, ""burnout"": 0.0047642383724451065}"
U002,05-09-2025 10:20,user,"Not really, just a normal day.",neutral,"{""neutral"": 0.7978421449661255, ""sadness"": 0.08161920309066772, ""surprise"": 0.04994944855570793, ""joy"": 0.039056871086359024, ""disgust"": 0.023970486596226692, ""anger"": 0.004415571223944426, ""fear"": 0.0031462248880416155}",none,"{""none"": 0.75, ""stress"": 0.09937553852796555, ""anxiety"": 0.07149163633584976, ""insomnia"": 0.05030589923262596, ""burnout"": 0.01679779402911663, ""depression"": 0.012813763692975044}"
U003,05-09-2025 11:45,user,I'm so tired  haven't slept properly in three days.,sadness,"{""sadness"": 0.8751776218414307, ""neutral"": 0.057134371250867844, ""surprise"": 0.03413368761539459, ""joy"": 0.010166624560952187, ""fear"": 0.010156197473406792, ""anger"": 0.009583734907209873, ""disgust"": 0.0036477313842624426}",burnout,"{""burnout"": 0.9950145483016968, ""stress"": 0.9899547696113586, ""insomnia"": 0.9458045363426208, ""depression"": 0.8901774287223816, ""anxiety"": 0.8277837038040161, ""none"": 0.030434701591730118}"
U003,05-09-2025 11:45,user,Too much work pressure and constant deadlines. Feeling anxious.,fear,"{""fear"": 0.9812198281288147, ""sadness"": 0.0061593917198479176, ""anger"": 0.004965167958289385, ""neutral"": 0.0030292372684925795, ""surprise"": 0.0025111951399594545, ""disgust"": 0.001215640571899712, ""joy"": 0.000899449281860143}",stress,"{""stress"": 0.9975104928016663, ""anxiety"": 0.9960194826126099, ""burnout"": 0.9241510629653931, ""depression"": 0.10659892112016678, ""insomnia"": 0.0151288490742445, ""none"": 0.0046499609015882015}"
U004,05-09-2025 12:30,user,I had a fight with my parents today.,sadness,"{""sadness"": 0.5313418507575989, ""anger"": 0.4134688675403595, ""fear"": 0.01761796325445175, ""neutral"": 0.012956719845533371, ""surprise"": 0.011055180802941322, ""disgust"": 0.006948181893676519, ""joy"": 0.006611246149986982}",stress,"{""stress"": 0.987112820148468, ""anxiety"": 0.9530388116836548, ""depression"": 0.47388240694999695, ""burnout"": 0.39111313223838806, ""insomnia"": 0.10934058576822281, ""none"": 0.0033525952603667974}"
U004,05-09-2025 12:30,user,They don't understand me  feeling frustrated and alone.,anger,"{""anger"": 0.9285013675689697, ""sadness"": 0.04360460862517357, ""neutral"": 0.009960752911865711, ""disgust"": 0.009164569899439812, ""joy"": 0.0037024887278676033, ""surprise"": 0.0026409984566271305, ""fear"": 0.002425229409709573}",stress,"{""stress"": 0.988510251045227, ""anxiety"": 0.9629986882209778, ""burnout"": 0.8425093293190002, ""depression"": 0.7235971689224243, ""none"": 0.1074775904417038, ""insomnia"": 0.08154269307851791}"
U005,05-09-2025 14:10,user,"Just watched a comedy movie, laughing so hard ??",joy,"{""joy"": 0.8372052907943726, ""neutral"": 0.06660804897546768, ""surprise"": 0.062383126467466354, ""sadness"": 0.028605887666344643, ""anger"": 0.0026730785612016916, ""fear"": 0.001333399093709886, ""disgust"": 0.0011910534230992198}",none,"{""stress"": 0.11323494464159012, ""anxiety"": 0.024781713262200356, ""burnout"": 0.014979706145823002, ""insomnia"": 0.013710656203329563, ""none"": 0.75, ""depression"": 0.0057753450237214565}"
U005,05-09-2025 14:10,user,"You should, it's super funny!",joy,"{""joy"": 0.9442108273506165, ""neutral"": 0.025187479332089424, ""surprise"": 0.014816872775554657, ""anger"": 0.0059760501608252525, ""sadness"": 0.004655506461858749, ""disgust"": 0.003643728094175458, ""fear"": 0.0015094554983079433}",none,"{""stress"": 0.16673797369003296, ""burnout"": 0.09276141226291656, ""insomnia"": 0.07480593770742416, ""anxiety"": 0.050295230001211166, ""depression"": 0.01821293495595455, ""none"": 0.75}"
